[mnist_0v1] train=12780 val=1000 test=1000
[mnist_0v1] imbalance ratio 0.8708827404479579
  0%|          | 0/20 [00:00<?, ?it/s]  5%|▌         | 1/20 [03:03<58:01, 183.23s/it] 10%|█         | 2/20 [06:01<54:10, 180.57s/it] 15%|█▌        | 3/20 [09:07<51:50, 182.96s/it] 20%|██        | 4/20 [11:55<47:09, 176.84s/it]Another attempt to get labeled set
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 2.0
[mnist_0v1] imbalance ratio 3.0
[mnist_0v1] imbalance ratio 1.5
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 0.75
[mnist_0v1] imbalance ratio 0.6
[mnist_0v1] imbalance ratio 0.8
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 1.2
[mnist_0v1] imbalance ratio 1.4
[mnist_0v1] imbalance ratio 1.1666666666666667
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 0.875
[mnist_0v1] imbalance ratio 0.7777777777777778
[mnist_0v1] imbalance ratio 0.7
[mnist_0v1] imbalance ratio 0.8
[mnist_0v1] imbalance ratio 0.7272727272727273
[mnist_0v1] imbalance ratio 0.8181818181818182
[mnist_0v1] imbalance ratio 0.9090909090909091
[mnist_0v1] imbalance ratio 0.8333333333333334
[mnist_0v1] imbalance ratio 0.7692307692307693
[mnist_0v1] imbalance ratio 0.8461538461538461
[mnist_0v1] imbalance ratio 0.9230769230769231
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 1.0769230769230769
[mnist_0v1] imbalance ratio 1.1538461538461537
[mnist_0v1] imbalance ratio 1.0714285714285714
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 0.9375
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 0.9411764705882353
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 0.9444444444444444
[mnist_0v1] imbalance ratio 0.8947368421052632
[mnist_0v1] imbalance ratio 0.85
[mnist_0v1] imbalance ratio 0.8095238095238095
[mnist_0v1] imbalance ratio 0.7727272727272727
[mnist_0v1] imbalance ratio 0.8181818181818182
[mnist_0v1] imbalance ratio 0.8636363636363636
[mnist_0v1] imbalance ratio 0.8260869565217391
[mnist_0v1] imbalance ratio 0.7916666666666666
[mnist_0v1] imbalance ratio 0.76
[mnist_0v1] imbalance ratio 0.7307692307692307
[mnist_0v1] imbalance ratio 0.7692307692307693
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 0.5
[mnist_0v1] imbalance ratio 0.3333333333333333
[mnist_0v1] imbalance ratio 0.25
[mnist_0v1] imbalance ratio 0.5
[mnist_0v1] imbalance ratio 0.4
[mnist_0v1] imbalance ratio 0.3333333333333333
[mnist_0v1] imbalance ratio 0.2857142857142857
[mnist_0v1] imbalance ratio 0.25
[mnist_0v1] imbalance ratio 0.2222222222222222
[mnist_0v1] imbalance ratio 0.3333333333333333
[mnist_0v1] imbalance ratio 0.3
[mnist_0v1] imbalance ratio 0.4
[mnist_0v1] imbalance ratio 0.5
[mnist_0v1] imbalance ratio 0.45454545454545453
[mnist_0v1] imbalance ratio 0.5454545454545454
[mnist_0v1] imbalance ratio 0.5
[mnist_0v1] imbalance ratio 0.46153846153846156
[mnist_0v1] imbalance ratio 0.42857142857142855
[mnist_0v1] imbalance ratio 0.5
[mnist_0v1] imbalance ratio 0.5714285714285714
[mnist_0v1] imbalance ratio 0.5333333333333333
[mnist_0v1] imbalance ratio 0.5
[mnist_0v1] imbalance ratio 0.5625
[mnist_0v1] imbalance ratio 0.5294117647058824
[mnist_0v1] imbalance ratio 0.5882352941176471
[mnist_0v1] imbalance ratio 0.6470588235294118
[mnist_0v1] imbalance ratio 0.7058823529411765
[mnist_0v1] imbalance ratio 0.7647058823529411
[mnist_0v1] imbalance ratio 0.8235294117647058
[mnist_0v1] imbalance ratio 0.8823529411764706
[mnist_0v1] imbalance ratio 0.8333333333333334
[mnist_0v1] imbalance ratio 0.8888888888888888
[mnist_0v1] imbalance ratio 0.8421052631578947
[mnist_0v1] imbalance ratio 0.8947368421052632
[mnist_0v1] imbalance ratio 0.9473684210526315
[mnist_0v1] imbalance ratio 0.9
[mnist_0v1] imbalance ratio 0.8571428571428571
[mnist_0v1] imbalance ratio 0.8181818181818182
[mnist_0v1] imbalance ratio 0.8636363636363636
[mnist_0v1] imbalance ratio 0.9090909090909091
[mnist_0v1] imbalance ratio 0.9545454545454546
[mnist_0v1] imbalance ratio 0.9130434782608695
[mnist_0v1] imbalance ratio 0.875
[mnist_0v1] imbalance ratio 0.84
Another attempt to get labeled set
Another attempt to get labeled set
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 2.0
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 0.6666666666666666
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 0.75
[mnist_0v1] imbalance ratio 1.0
[mnist_0v1] imbalance ratio 1.25
[mnist_0v1] imbalance ratio 1.5
[mnist_0v1] imbalance ratio 1.2
[mnist_0v1] imbalance ratio 1.0
